V1,location_name,date,allbed_mean,allbed_lower,allbed_upper,ICUbed_mean,ICUbed_lower,ICUbed_upper,InvVen_mean,InvVen_lower,InvVen_upper,deaths_mean,deaths_lower,deaths_upper,admis_mean,admis_lower,admis_upper,newICU_mean,newICU_lower,newICU_upper,totdea_mean,totdea_lower,totdea_upper,bedover_mean,bedover_lower,bedover_upper,icuover_mean,icuover_lower,icuover_upper,mobility_data_type,mobility_composite,total_tests_data_type,total_tests,confirmed_infections,est_infections_mean,est_infections_lower,est_infections_upper
19712,Abruzzo,2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
19713,Abruzzo,2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
19714,Abruzzo,2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
19715,Abruzzo,2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
19716,Abruzzo,2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
19717,Abruzzo,2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
19718,Abruzzo,2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
19719,Abruzzo,2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
19720,Abruzzo,2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
19721,Abruzzo,2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
19722,Abruzzo,2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
19723,Abruzzo,2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
19724,Abruzzo,2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
19725,Abruzzo,2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
19726,Abruzzo,2020-03-09,7.30288157894737,5.7,9.60125,2,2,2,2,2,2,0,0,0,7.30288157894737,5.7,9.60125,2,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,
19727,Abruzzo,2020-03-10,10.9486447368421,8.85,13.8,3,3,3,3,3,3,0,0,0,3.64576315789474,2.65,5.50125,1,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,
19728,Abruzzo,2020-03-11,14.6389631578947,12.14875,17.95125,4,4,4,4,4,4,0,0,0,3.69031842105263,2.65,5.4,1,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,
19729,Abruzzo,2020-03-12,21.9701342105263,18.7,26.05125,6.47852105263158,6.2,6.85,6.35571842105263,6.1,6.65,0,0,0,7.33117105263158,5.74875,9.8,2.47852105263158,2.2,2.85,0,0,0,0,0,0,0,0,0,,,,,,,,
19730,Abruzzo,2020-03-13,29.3134105263158,25.6,33.9,8.70693684210526,8.35,9.15,8.52317894736842,8.2,8.9,0,0,0,7.34327631578947,5.65,9.8,2.22841578947368,2.05,2.5,0,0,0,0,0,0,0,0,0,,,,,,,,
