"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","CORREZ","Correzione","SEXISTAT1","Sesso","ETA1","Classe di età","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","UNEM_R","tasso di disoccupazione","Y","dati destagionalizzati","2","femmine","Y_GE15","15 anni e più","2019M4G30","30-Apr-2019","2019-03","Mar-2019",11.280758,,
"IT","Italia","UNEM_R","tasso di disoccupazione","N","dati grezzi","9","totale","Y_GE50","50 anni e più","2019M4G30","30-Apr-2019","2019-03","Mar-2019",5.779358,"p","dato provvisorio"
"IT","Italia","UNEM_R","tasso di disoccupazione","N","dati grezzi","9","totale","Y15-34","15-34 anni","2019M4G30","30-Apr-2019","2019-03","Mar-2019",18.613508,"p","dato provvisorio"
"IT","Italia","UNEM_R","tasso di disoccupazione","N","dati grezzi","9","totale","Y25-34","25-34 anni","2019M4G30","30-Apr-2019","2019-03","Mar-2019",15.622253,"p","dato provvisorio"
"IT","Italia","UNEM_R","tasso di disoccupazione","N","dati grezzi","9","totale","Y_GE15","15 anni e più","2019M4G30","30-Apr-2019","2019-03","Mar-2019",10.44305,"p","dato provvisorio"
"IT","Italia","UNEM_R","tasso di disoccupazione","N","dati grezzi","9","totale","Y35-49","35-49 anni","2019M4G30","30-Apr-2019","2019-03","Mar-2019",9.392283,"p","dato provvisorio"
"IT","Italia","UNEM_R","tasso di disoccupazione","Y","dati destagionalizzati","1","maschi","Y_GE15","15 anni e più","2019M4G30","30-Apr-2019","2019-03","Mar-2019",9.372591,,
"IT","Italia","UNEM_R","tasso di disoccupazione","N","dati grezzi","2","femmine","Y_GE15","15 anni e più","2019M4G30","30-Apr-2019","2019-03","Mar-2019",11.58283,"p","dato provvisorio"
"IT","Italia","UNEM_R","tasso di disoccupazione","Y","dati destagionalizzati","9","totale","Y25-34","25-34 anni","2019M4G30","30-Apr-2019","2019-03","Mar-2019",15.143831,,
"IT","Italia","UNEM_R","tasso di disoccupazione","Y","dati destagionalizzati","9","totale","Y15-64","15-64 anni","2019M4G30","30-Apr-2019","2019-03","Mar-2019",10.400042,,
"IT","Italia","UNEM_R","tasso di disoccupazione","Y","dati destagionalizzati","9","totale","Y50-64","50-64 anni","2019M4G30","30-Apr-2019","2019-03","Mar-2019",6.250654,,
"IT","Italia","UNEM_R","tasso di disoccupazione","N","dati grezzi","1","maschi","Y_GE15","15 anni e più","2019M4G30","30-Apr-2019","2019-03","Mar-2019",9.596978,"p","dato provvisorio"
"IT","Italia","UNEM_R","tasso di disoccupazione","N","dati grezzi","9","totale","Y50-64","50-64 anni","2019M4G30","30-Apr-2019","2019-03","Mar-2019",6.069225,"p","dato provvisorio"
"IT","Italia","UNEM_R","tasso di disoccupazione","N","dati grezzi","9","totale","Y15-64","15-64 anni","2019M4G30","30-Apr-2019","2019-03","Mar-2019",10.653422,"p","dato provvisorio"
"IT","Italia","UNEM_R","tasso di disoccupazione","Y","dati destagionalizzati","9","totale","Y35-49","35-49 anni","2019M4G30","30-Apr-2019","2019-03","Mar-2019",8.592687,,
"IT","Italia","UNEM_R","tasso di disoccupazione","Y","dati destagionalizzati","9","totale","Y15-34","15-34 anni","2019M4G30","30-Apr-2019","2019-03","Mar-2019",18.834419,,
"IT","Italia","UNEM_R","tasso di disoccupazione","Y","dati destagionalizzati","9","totale","Y_GE15","15 anni e più","2019M4G30","30-Apr-2019","2019-03","Mar-2019",10.185058,,
