Unemployment rates by sex, age and citizenship (%) [lfsa_urgan];
;
Last update;27.06.19
Extracted on;10.07.19
Source of data;Eurostat
;
SEX;Total
AGE;From 15 to 74 years
CITIZEN;Total
UNIT;Percentage
;
GEO/TIME;2018
European Union - 28 countries;6,8
European Union - 15 countries (1995-2004);7,5
Euro area (19 countries);8,2
Belgium;6,0
Bulgaria;5,2
Czechia;2,2
Denmark;5,0
Germany (until 1990 former territory of the FRG);3,4
Estonia;5,4
Ireland;5,8
Greece;19,3
Spain;15,3
France;9,1
Croatia;8,5
Italy;10,6
Cyprus;8,4
Latvia;7,4
Lithuania;6,2
Luxembourg;5,6
Hungary;3,7
Malta;3,7
Netherlands;3,8
Austria;4,9
Poland;3,9
Portugal;7,1
Romania;4,2
Slovenia;5,1
Slovakia;6,5
Finland;7,4
Sweden;6,3
United Kingdom;4,0
;
Special value:;
:;not available
